皇宫名称,建造时期,所在位置（今）,备注/特点
章华台,春秋·楚灵王六年（前535年）,湖北省 潜江市,又称章华宫，“天下第一台”，楚灵王六年建，为楚国离宫
姑苏台,春秋·吴王阖闾时期,江苏省 苏州市,吴王夫差扩建，与西施有关，后被越国焚毁
咸阳宫,战国秦·孝公十二年（前350年）,陕西省 咸阳市,秦孝公迁都咸阳后所建，秦始皇统一六国后继续使用
阿房宫,秦·秦始皇三十五年（前212年）,陕西省 西安市,秦始皇拟建，未完全建成即遭战火，杜牧《阿房宫赋》名传后世
长乐宫,西汉·高祖七年（前200年）,陕西省 西安市,由秦兴乐宫改建，西汉太后居所，周长1万余米，面积约6平方公里
未央宫,西汉·高祖七年（前200年）,陕西省 西安市,萧何监造，西汉皇帝朝会之所，中国历史上存在时间最久的宫殿
建章宫,西汉·武帝太初元年（前104年）,陕西省 西安市,汉武帝为显国威所建，与未央宫有飞阁相连，规模更为宏大
甘泉宫,西汉·武帝时期,陕西省 淳化县,又称云阳宫，位于长安以北，为皇帝避暑和处理政务的离宫
桂宫,西汉·武帝时期,陕西省 西安市,位于未央宫北，后妃居住的宫室
北宫,西汉·武帝时期,陕西省 西安市,位于未央宫以北，后妃居住宫室
南宫,东汉·光武帝建武年间（25-56年）,河南省 洛阳市,东汉洛阳城主要宫殿之一，皇帝朝会之所
北宫,东汉·明帝永平年间（58-75年）,河南省 洛阳市,东汉洛阳城另一主要宫殿，与南宫并立
建康宫,东晋·元帝建武元年（317年）,江苏省 南京市,六朝时期建康城皇宫，东晋、宋、齐、梁、陈沿用
太极宫,隋·文帝开皇二年（582年）,陕西省 西安市,隋称大兴宫，唐改太极宫，唐代初期的正式宫城
大明宫,唐·太宗贞观八年（634年）始建,陕西省 西安市,唐高宗后主要皇宫，含元殿、宣政殿、紫宸殿三大殿，面积约3.2平方公里
兴庆宫,唐·玄宗开元二年（714年）,陕西省 西安市,唐玄宗旧邸扩建而成，玄宗时期政治中心，内有花萼相辉楼、勤政务本楼
上阳宫,唐·高宗上元二年（675年）,河南省 洛阳市,唐代东都洛阳重要皇宫，武则天常居于此
万象神宫（明堂）,武周·垂拱四年（688年）,河南省 洛阳市,武则天称帝后建，高约90米，武周王朝政治中心
北宋皇宫,北宋·太祖建隆元年（960年）,河南省 开封市,沿袭五代旧宫，位于开封城北部，今已不存
南宋皇宫,南宋·高宗绍兴二年（1132年）,浙江省 杭州市,以杭州州治改建，规模较北宋皇宫为小，又名德寿宫
元大都宫城,元·世祖至元四年（1267年）,北京市,元朝皇宫，又称大内，位于今北京城北，明清紫禁城在其南
南京故宫,明·太祖洪武元年（1368年）,江苏省 南京市,明初皇宫，朱元璋所建，后为陪都，规模宏大，有“世界第一宫殿”之称
北京故宫（紫禁城）,明·成祖永乐四年（1406年）始建,北京市,明清两代皇宫，现存规模最大、保存最完整的木结构宫殿建筑群，世界文化遗产
沈阳故宫,清·太祖天命十年（1625年）,辽宁省 沈阳市,清朝入关前皇宫，后为陪都宫殿，现为世界文化遗产
