名称,朝代,省份,市县,经度,纬度,机构级别,保护级别,现存核心建筑
直隶总督署,清,河北,保定市,115°29',38°52',总督府,保存完好,大堂、二堂、六房
南阳府衙,明清,河南,南阳市,112°32',33°00',府衙,保存完好,大堂、二堂、六房、监狱
淮安府衙,明清,江苏,淮安市,119°02',33°30',府衙,保存完好,大堂、二堂
潞安府衙,隋-清,山西,长治市,113°06',36°11',府衙,部分保存,大堂、二堂
霍州署衙,元-清,山西,霍州市,111°45',36°34',州衙,保存完好,大堂、二堂、六房
内乡县衙,元-清,河南,内乡县,111°51',33°03',县衙,保存完好,大堂、二堂、六房、监狱
叶县县衙,明,河南,叶县,113°21',33°37',县衙,保存完好,大堂、二堂
平遥县衙,明清,山西,平遥县,112°10',37°12',县衙,保存完好,大堂、二堂、六房、监狱
澶州署,宋,河南,濮阳县,115°02',35°42',州衙,复建,大堂
平越卫,明,贵州,福泉市,107°31',26°41',都司卫所,遗址,谯楼、城门
贵州都指挥使司,明,贵州,贵阳市,106°42',26°34',都司卫所,遗址(今公安局),大堂、谯楼
苏州府治(黄堂),唐-明,江苏,苏州市,120°37',31°18',府衙,遗址,大堂
唐长安皇城官署群,隋唐,陕西,西安市,108°56',34°15',中央官署,遗址,三省六部遗址群
八番顺元宣慰司都元帅府,元,贵州,贵阳市,106°42',26°34',宣慰司,遗址,大堂、谯楼
